,tipo,bairro,preço,tamanho,quartos,banheiros,garagens
0,apartamento,Espinheiro,330000,122,3,3,1
1,apartamento,Boa Viagem,1990000,344,3,2,1
2,apartamento,Torre,280000,90,3,2,1
3,apartamento,Boa Viagem,590000,98,3,3,1
4,apartamento,Soledade,150000,32,1,1,1
5,apartamento,Espinheiro,400000,75,3,1,1
6,apartamento,Cordeiro,390000,63,2,2,1
7,apartamento,Casa Forte,575000,100,3,2,1
8,apartamento,Tamarineira,420000,59,3,2,1
9,apartamento,Parnamirim,998000,155,4,2,2
10,apartamento,Madalena,1300000,136,4,4,2
11,apartamento,Boa Viagem,950000,284,3,3,1
12,apartamento,Iputinga,350000,82,3,2,1
13,apartamento,Espinheiro,790000,109,3,3,2
14,apartamento,Torre,750000,90,3,1,2
15,apartamento,Encruzilhada,385000,69,3,3,1
16,apartamento,Apipucos,840000,10,4,2,4
17,apartamento,Boa Viagem,1200000,189,4,4,3
18,apartamento,Boa Viagem,980000,160,2,3,2
19,apartamento,Madalena,1108779,123,4,4,2
20,apartamento,Aflitos,1100000,132,4,4,2
21,apartamento,Boa Viagem,520000,111,3,2,1
22,apartamento,Encruzilhada,335000,52,2,1,1
23,apartamento,Boa Vista,570000,66,3,2,1
24,apartamento,Boa Viagem,480000,144,4,4,1
25,apartamento,Pina,390000,65,3,1,1
26,apartamento,Santo Amaro,2000000,207,4,5,3
27,apartamento,Parnamirim,1132093,105,3,1,2
28,apartamento,Madalena,872854,90,3,3,2
29,apartamento,Encruzilhada,690000,106,3,1,2
30,apartamento,Cordeiro,459000,62,3,2,1
31,apartamento,Madalena,480000,57,2,2,1
32,apartamento,Torre,420000,60,2,2,2
33,apartamento,Boa Viagem,550000,65,2,2,1
34,apartamento,Várzea,85000,48,2,1,1
35,apartamento,Boa Viagem,600000,142,3,2,2
36,apartamento,Casa Forte,650000,58,2,2,1
37,apartamento,Várzea,150000,60,3,2,1
38,apartamento,Boa Viagem,850000,160,4,4,2
39,apartamento,Cordeiro,570,76,3,3,1
40,apartamento,Boa Viagem,164000,65,3,2,1
41,apartamento,Boa Viagem,1200000,195,4,4,2
42,apartamento,Rosarinho,911911,84,4,1,2
43,apartamento,Boa Vista,320000,78,3,2,1
44,apartamento,Madalena,485000,62,2,1,1
45,apartamento,Boa Viagem,331800,37,1,1,1
46,apartamento,Encruzilhada,441550,58,2,2,1
47,apartamento,San Martin,330000,68,3,2,1
48,apartamento,Espinheiro,335000,68,3,2,1
49,apartamento,Jardim São Paulo,265000,64,3,1,1
50,apartamento,Pina,1600000,136,4,2,2
51,apartamento,Casa Amarela,550000,77,3,3,2
52,apartamento,Encruzilhada,430000,60,3,1,1
53,apartamento,Ilha do Retiro,350000,103,3,1,1
54,apartamento,Boa Viagem,1580000,137,4,4,2
55,apartamento,Prado,340000,75,2,1,1
56,apartamento,Boa Viagem,900000,170,4,4,2
57,apartamento,Graças,900000,136,4,4,2
58,apartamento,Boa Viagem,520000,72,3,3,1
59,apartamento,Parnamirim,1600000,237,4,5,3
60,apartamento,Graças,1270000,152,3,4,2
61,apartamento,Torre,350000,70,3,2,1
62,apartamento,Boa Viagem,1390000,94,3,3,2
63,apartamento,Arruda,372378,67,3,2,1
64,apartamento,Boa Viagem,600000,69,3,2,2
65,apartamento,Aflitos,650000,97,3,3,2
66,apartamento,Boa Viagem,770000,97,3,2,2
67,apartamento,Boa Viagem,540000,65,3,1,1
68,apartamento,Boa Vista,346500,45,2,2,1
69,apartamento,Ilha do Retiro,1159000,135,4,5,2
70,apartamento,Apipucos,1899000,208,4,5,4
71,apartamento,Boa Viagem,1300000,146,4,2,2
72,apartamento,Boa Viagem,1569000,132,4,1,2
73,apartamento,Torre,430000,60,3,2,2
74,apartamento,Espinheiro,270000,65,3,2,1
75,apartamento,Jaqueira,1200000,205,4,1,2
76,apartamento,Boa Viagem,550000,114,3,3,2
77,apartamento,Boa Viagem,580000,131,4,4,2
78,apartamento,Espinheiro,750000,96,3,1,3
79,apartamento,Casa Amarela,330000,50,2,1,1
80,apartamento,Imbiribeira,525000,55,2,2,1
81,apartamento,Boa Viagem,900000,297,5,4,3
82,apartamento,Boa Viagem,409287,30,1,1,1
83,apartamento,Boa Viagem,450000,55,2,2,2
84,apartamento,Boa Viagem,900000,255,3,3,3
85,apartamento,Boa Viagem,250000,90,3,2,1
86,apartamento,Boa Viagem,1069000,90,3,1,2
87,apartamento,Boa Viagem,2600000,384,4,5,2
88,apartamento,Pina,450000,74,3,1,1
89,apartamento,Casa Amarela,530000,82,3,3,2
90,apartamento,Boa Viagem,680000,64,3,2,2
91,apartamento,Boa Viagem,650000,69,3,3,2
92,apartamento,Graças,624989,53,2,2,1
