,tipo,bairro,preço,tamanho,quartos,banheiros,garagens
0,flat,Boa Viagem,R$ 159.000,23m²,1,1,1
1,flat,Boa Viagem,R$ 223.820,40m²,2,2,1
2,flat,Boa Viagem,R$ 2.300,30m²,1,1,1
3,flat,Ilha do Leite,R$ 210.000,45m²,1,1,1
4,flat,Boa Viagem,R$ 2.100,25m²,1,1,1
5,flat,São José,R$ 500.000,39m²,1,1,1
6,flat,Boa Viagem,R$ 1.800,33m²,1,1,1
7,flat,Boa Viagem,R$ 250.000,23m²,1,1,1
8,flat,Casa Forte,R$ 367.000,33m²,1,1,1
9,flat,Boa Viagem,R$ 4.000,40m²,1,1,1
10,flat,Boa Viagem,R$ 295.000,40m²,1,1,1
11,flat,Boa Viagem,R$ 2.100,28m²,1,1,1
12,flat,Boa Viagem,R$ 1.500,30m²,1,1,1
13,flat,Boa Vista,R$ 272.000,48m²,1,1,1
14,flat,Boa Viagem,R$ 212.000,36m²,1,1,1
15,flat,Pina,R$ 1.850,33m²,1,1,1
16,flat,Boa Viagem,R$ 199.000,25m²,1,1,1
17,flat,Boa Viagem,R$ 230.000,35m²,1,1,1
18,flat,Boa Viagem,R$ 379.900,70m²,2,2,1
19,flat,Boa Viagem,R$ 370.000,41m²,1,1,1
20,flat,Boa Viagem,R$ 297.000,32m²,1,1,1
21,flat,Soledade,R$ 272.000,32m²,1,1,1
22,flat,Tamarineira,R$ 280.000,34m²,1,1,1
23,flat,São José,R$ 500.000,39m²,1,1,1
24,flat,Boa Viagem,R$ 285.000,50m²,2,1,1
25,flat,Boa Viagem,R$ 235.000,33m²,1,1,1
26,flat,Boa Viagem,R$ 280.000,30m²,1,1,1
27,flat,Boa Viagem,R$ 250.000,28m²,1,1,1
28,flat,Boa Viagem,R$ 141.000,27m²,1,1,1
29,flat,Boa Viagem,R$ 245.000,35m²,1,1,1
30,flat,Boa Viagem,R$ 320.000,55m²,2,2,1
31,flat,Boa Viagem,R$ 337.365,32m²,1,1,1
32,flat,Boa Viagem,R$ 280.000,36m²,1,1,1
33,flat,Boa Viagem,R$ 405.000,45m²,1,1,1
34,flat,Boa Viagem,R$ 270.000,36m²,1,1,1
35,flat,Boa Viagem,R$ 280.000,36m²,1,1,1
36,flat,Ilha do Leite,R$ 437.300,30m²,1,1,1
37,flat,Boa Viagem,R$ 275.000,40m²,1,1,1
38,flat,Ilha do Leite,R$ 415.048,54m²,1,1,1
