,tipo,bairro,preço,tamanho,quartos,banheiros,garagens
0,apartamento,Espinheiro,R$ 330.000,122m²,3,3,1
1,apartamento,Boa Viagem,R$ 1.990.000,344m²,3,2,1
2,apartamento,Torre,R$ 280.000,90m²,3,2,1
3,apartamento,Boa Viagem,R$ 590.000,98m²,3,3,1
4,apartamento,Soledade,R$ 150.000,32m²,1,1,1
5,apartamento,Espinheiro,R$ 400.000,75m²,3,1,1
6,apartamento,Cordeiro,R$ 390.000,63m²,2,2,1
7,apartamento,Casa Forte,R$ 575.000,100m²,3,2,1
8,apartamento,Tamarineira,R$ 420.000,59m²,3,2,1
9,apartamento,Parnamirim,R$ 998.000,155m²,4,2,2
10,apartamento,Madalena,R$ 1.300.000,136m²,4,4,2
11,apartamento,Boa Viagem,R$ 950.000,284m²,3,3,1
12,apartamento,Iputinga,R$ 350.000,82m²,3,2,1
13,apartamento,Espinheiro,R$ 790.000,109m²,3,3,2
14,apartamento,Torre,R$ 750.000,90m²,3,1,2
15,apartamento,Encruzilhada,R$ 385.000,69m²,3,3,1
16,apartamento,Apipucos,R$ 840.000,10m²,4,2,4
17,apartamento,Boa Viagem,R$ 1.200.000,189m²,4,4,3
18,apartamento,Boa Viagem,R$ 980.000,160m²,2,3,2
19,apartamento,Madalena,R$ 1.108.779,123m²,4,4,2
20,apartamento,Aflitos,R$ 1.100.000,132m²,4,4,2
21,apartamento,Boa Viagem,R$ 520.000,111m²,3,2,1
22,apartamento,Encruzilhada,R$ 335.000,52m²,2,1,1
23,apartamento,Boa Vista,R$ 570.000,66m²,3,2,1
24,apartamento,Boa Viagem,R$ 480.000,144m²,4,4,1
25,apartamento,Pina,R$ 390.000,65m²,3,1,1
26,apartamento,Santo Amaro,R$ 2.000.000,207m²,4,5,3
27,apartamento,Parnamirim,R$ 1.132.093,105m²,3,1,2
28,apartamento,Madalena,R$ 872.854,90m²,3,3,2
29,apartamento,Encruzilhada,R$ 690.000,106m²,3,1,2
30,apartamento,Cordeiro,R$ 459.000,62m²,3,2,1
31,apartamento,Madalena,R$ 480.000,57m²,2,2,1
32,apartamento,Torre,R$ 420.000,60m²,2,2,2
33,apartamento,Boa Viagem,R$ 550.000,65m²,2,2,1
34,apartamento,Várzea,R$ 85.000,48m²,2,1,1
35,apartamento,Boa Viagem,R$ 600.000,142m²,3,2,2
36,apartamento,Casa Forte,R$ 650.000,58m²,2,2,1
37,apartamento,Várzea,R$ 150.000,60m²,3,2,1
38,apartamento,Boa Viagem,R$ 850.000,160m²,4,4,2
39,apartamento,Cordeiro,R$ 570,76m²,3,3,1
40,apartamento,Boa Viagem,R$ 164.000,65m²,3,2,1
41,apartamento,Boa Viagem,R$ 1.200.000,195m²,4,4,2
42,apartamento,Rosarinho,R$ 911.911,84m²,4,1,2
43,apartamento,Boa Vista,R$ 320.000,78m²,3,2,1
44,apartamento,Madalena,R$ 485.000,62m²,2,1,1
45,apartamento,Boa Viagem,R$ 331.800,37m²,1,1,1
46,apartamento,Encruzilhada,R$ 441.550,58m²,2,2,1
47,apartamento,San Martin,R$ 330.000,68m²,3,2,1
48,apartamento,Espinheiro,R$ 335.000,68m²,3,2,1
49,apartamento,Jardim São Paulo,R$ 265.000,64m²,3,1,1
50,apartamento,Pina,R$ 1.600.000,136m²,4,2,2
51,apartamento,Casa Amarela,R$ 550.000,77m²,3,3,2
52,apartamento,Encruzilhada,R$ 430.000,60m²,3,1,1
